election_id,id,name,office,url
NOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1384270,"BRIBIESCA, JUAN M.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1005192,"CHIANG, JOHN",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1394685,"COX, JOHN H.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1002471,"EASTIN, DELAINE",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1399532,"JONES, JOSHUA G.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1004592,"LA RIVA, GLORIA E.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1403882,"MIKADO, HAKAN A.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1308192,"NEWSOM, GAVIN",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1402389,"RENTERIA, AMANDA",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1400693,"SHELLENBERGER, MICHAEL D.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1004202,"VILLARAIGOSA, ANTONIO R.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1367011,"WILDSTAR, NICKOLAS",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"AGBEDE, AKINYEMI O.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"ARREOLA, ARMANDO M",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"AVORY, SHEAR (WITHDRAWN)",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"CARES, THOMAS JEFFERSON",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"CARLSON, CHRIS",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"FIMBRES, VERONIKA",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"GIRARD, YVONNE R.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"GOEL, SHUBHAM",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"GRIFFIS, ROBERT D.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"GYURKO, ZOLTAN ISTVAN",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"LIU, PETER Y.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"MEZZETTI, ALBERT C.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"NEWMAN II, ROBERT C.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"PEARCE, K.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"SILVEIRA, DESMOND A.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"SOLTANI, ARMAN",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"TAYLOR, JEFFREY E.",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"TINAJ, KLEMENT",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"VALENTINO, PETER CRAWFORD",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"WATTENBURG, JOHNNY",GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1396289,"BLEICH, JEFF",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1364124,"FENNELL, DAVID",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1398342,"FERREIRA, TIMOTHY J.",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1394698,"GHARABIKLOU, CAMERON J.",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1400284,"HARRIS, COLE M.",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1395930,"HERNANDEZ, DAVID",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1266775,"HERNANDEZ, EDWARD P.",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1395992,"KOUNALAKIS, ELENI",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1396399,"MC LAUGHLIN, GAYLE",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1401288,"ORTEGA, LYDIA D.",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"FARIBA, MARJAN",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"THOMAS, DANNY",LIEUTENANT GOVERNOR ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1393451,"MAJOR, RUBEN K.",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1345949,"MEUSER, MARK P.",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1278243,"PADILLA, ALEX",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"FEINSTEIN, MICHAEL ALAN",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"LIGHTFOOT, GAIL K.",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"RODRIGUEZ JR., RAUL",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"RYDBERG, ERIK B.",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"WEBER, C.T.",SECRETARY OF STATE ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1400177,"RODITIS, KONSTANTINOS",CONTROLLER ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1273041,"YEE, BETTY T.",CONTROLLER ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,,"FINLEY, MARY LOU",CONTROLLER ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
62,1325714,"CONLON, GREG",TREASURER ,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
